{'conv3_enabled': False, 'conv2_enabled': True, 'dense2_neurons': 128, 'conv3_activation': 'tanh', 'dense1_activation': 'tanh', 'dense1_dropout': 0.4, 'dense2_enabled': True, 'dense3_neurons': 512, 'conv1_neurons': 16, 'conv2_activation': 'selu', 'convdense_dropout': 0.2, 'conv4_enabled': True, 'dense3_dropout': 0.2, 'conv4_neurons': 64, 'conv5_activation': 'sigmoid', 'dense1_neurons': 128, 'dense3_enabled': True, 'loss': 'mae', 'dense2_activation': 'relu', 'conv3_neurons': 256, 'conv1_activation': 'relu', 'final_activation': 'tanh', 'conv4_activation': 'relu', 'conv2_neurons': 256, 'dense3_activation': 'tanh', 'optimizer': 'adagrad', 'dense1_enabled': True, 'conv5_neurons': 64, 'dense2_dropout': 0, 'conv5_enabled': True}
ID	TAR	TRR
2	100.00	99.60	
3	97.39	100.00	
4	100.00	94.84	
5	100.00	99.84	
7	100.00	90.63	
8	93.91	99.36	
13	98.25	99.60	
15	100.00	97.70	
16	97.39	99.05	
19	99.12	98.81	
26	100.00	98.89	
28	100.00	94.52	
Score: 18930
